srcip,dstip,sport,dport,proto,data,label,classes
192.168.2.200,50.7.252.138,9993,9993,17,"b""\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x00\xa5\xbe\xca\x00\x00\x80\x11\x00\x00\xc0\xa8\x02\xc82\x07\xfc\x8a'\t'\t\x00\x91\xf2\xa4q\x9f~\xca\x86\x05V2b\xf8e\xaeq\xe5\xa50\x12I\x00\xc4$\x1b\xf9\xb4o\x00/\x01\x0c\x01\n\x00\x01\x00\x00\x01\x81\xe7\xaeM<\xe5\xa50\x12I\x00\x08\x86\xe1\xf0<\x0c\xc9E\xb9\x81\xa2DD\xa2\xb1r\xc2\x99\xf6\x99u\xef\x7f\x05\xfa\xf0}\n9q\xf4\x015_+\xef,\xda\xd9a\xaf\xc8\x89CkM\xef\xb4*\xb0\x93Ts\x85\x1e\xb0\x1d*\x11\xc5>\xc8\xef\x82\x00\x042\x07\xfc\x8a'\t\x00\x00\x00\x00\x08\xea\xc9\n\x00\x00\x01~\xe9W`\xcd0\x8f""",0,Normal
192.168.2.200,50.7.252.138,26767,9993,17,"b""\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x00\xa5\xbe\xcb\x00\x00\x80\x11\x00\x00\xc0\xa8\x02\xc82\x07\xfc\x8ah\x8f'\t\x00\x91\xf2\xa4q\x9f~\xca\x86\x05V2b\xf8e\xaeq\xe5\xa50\x12I\x00\xc4$\x1b\xf9\xb4o\x00/\x01\x0c\x01\n\x00\x01\x00\x00\x01\x81\xe7\xaeM<\xe5\xa50\x12I\x00\x08\x86\xe1\xf0<\x0c\xc9E\xb9\x81\xa2DD\xa2\xb1r\xc2\x99\xf6\x99u\xef\x7f\x05\xfa\xf0}\n9q\xf4\x015_+\xef,\xda\xd9a\xaf\xc8\x89CkM\xef\xb4*\xb0\x93Ts\x85\x1e\xb0\x1d*\x11\xc5>\xc8\xef\x82\x00\x042\x07\xfc\x8a'\t\x00\x00\x00\x00\x08\xea\xc9\n\x00\x00\x01~\xe9W`\xcd0\x8f""",0,Normal
192.168.2.200,50.7.252.138,42199,9993,17,"b""\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x00\xa5\xbe\xcc\x00\x00\x80\x11\x00\x00\xc0\xa8\x02\xc82\x07\xfc\x8a\xa4\xd7'\t\x00\x91\xf2\xa4q\x9f~\xca\x86\x05V2b\xf8e\xaeq\xe5\xa50\x12I\x00\xc4$\x1b\xf9\xb4o\x00/\x01\x0c\x01\n\x00\x01\x00\x00\x01\x81\xe7\xaeM<\xe5\xa50\x12I\x00\x08\x86\xe1\xf0<\x0c\xc9E\xb9\x81\xa2DD\xa2\xb1r\xc2\x99\xf6\x99u\xef\x7f\x05\xfa\xf0}\n9q\xf4\x015_+\xef,\xda\xd9a\xaf\xc8\x89CkM\xef\xb4*\xb0\x93Ts\x85\x1e\xb0\x1d*\x11\xc5>\xc8\xef\x82\x00\x042\x07\xfc\x8a'\t\x00\x00\x00\x00\x08\xea\xc9\n\x00\x00\x01~\xe9W`\xcd0\x8f""",0,Normal
192.168.2.200,104.194.8.134,9993,9993,17,"b""\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x00\xa5x]\x00\x00\x80\x11\x00\x00\xc0\xa8\x02\xc8h\xc2\x08\x86'\t'\t\x00\x915[\xbf\x98\x85L0\xec*\xef\xca\xfe\x9e\xfe\xb9\xe5\xa50\x12I\x00\xd6\x0b'\xa7>\xdc:]\x01\x0c\x01\n\x00\x01\x00\x00\x01\x81\xe7\xaeM<\xe5\xa50\x12I\x00\x08\x86\xe1\xf0<\x0c\xc9E\xb9\x81\xa2DD\xa2\xb1r\xc2\x99\xf6\x99u\xef\x7f\x05\xfa\xf0}\n9q\xf4\x015_+\xef,\xda\xd9a\xaf\xc8\x89CkM\xef\xb4*\xb0\x93Ts\x85\x1e\xb0\x1d*\x11\xc5>\xc8\xef\x82\x00\x04h\xc2\x08\x86'\t\x00\x00\x00\x00\x08\xea\xc9\n\x00\x00\x01~\xe9W`\xcd\x99q""",0,Normal
192.168.2.200,104.194.8.134,26767,9993,17,"b""\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x00\xa5x^\x00\x00\x80\x11\x00\x00\xc0\xa8\x02\xc8h\xc2\x08\x86h\x8f'\t\x00\x915[\xbf\x98\x85L0\xec*\xef\xca\xfe\x9e\xfe\xb9\xe5\xa50\x12I\x00\xd6\x0b'\xa7>\xdc:]\x01\x0c\x01\n\x00\x01\x00\x00\x01\x81\xe7\xaeM<\xe5\xa50\x12I\x00\x08\x86\xe1\xf0<\x0c\xc9E\xb9\x81\xa2DD\xa2\xb1r\xc2\x99\xf6\x99u\xef\x7f\x05\xfa\xf0}\n9q\xf4\x015_+\xef,\xda\xd9a\xaf\xc8\x89CkM\xef\xb4*\xb0\x93Ts\x85\x1e\xb0\x1d*\x11\xc5>\xc8\xef\x82\x00\x04h\xc2\x08\x86'\t\x00\x00\x00\x00\x08\xea\xc9\n\x00\x00\x01~\xe9W`\xcd\x99q""",0,Normal
192.168.2.200,104.194.8.134,42199,9993,17,"b""\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x00\xa5x_\x00\x00\x80\x11\x00\x00\xc0\xa8\x02\xc8h\xc2\x08\x86\xa4\xd7'\t\x00\x915[\xbf\x98\x85L0\xec*\xef\xca\xfe\x9e\xfe\xb9\xe5\xa50\x12I\x00\xd6\x0b'\xa7>\xdc:]\x01\x0c\x01\n\x00\x01\x00\x00\x01\x81\xe7\xaeM<\xe5\xa50\x12I\x00\x08\x86\xe1\xf0<\x0c\xc9E\xb9\x81\xa2DD\xa2\xb1r\xc2\x99\xf6\x99u\xef\x7f\x05\xfa\xf0}\n9q\xf4\x015_+\xef,\xda\xd9a\xaf\xc8\x89CkM\xef\xb4*\xb0\x93Ts\x85\x1e\xb0\x1d*\x11\xc5>\xc8\xef\x82\x00\x04h\xc2\x08\x86'\t\x00\x00\x00\x00\x08\xea\xc9\n\x00\x00\x01~\xe9W`\xcd\x99q""",0,Normal
192.168.2.200,192.168.2.2,62355,53,17,"b'\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x00N/\xaf\x00\x00\x80\x11\x00\x00\xc0\xa8\x02\xc8\xc0\xa8\x02\x02\xf3\x93\x005\x00:\x86fm\x97\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x06mobile\x06events\x04data\tmicrosoft\x03com\x00\x00\x01\x00\x01'",0,Normal
192.168.2.200,192.168.2.2,49458,53,17,"b'\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x00B/\xb0\x00\x00\x80\x11\x00\x00\xc0\xa8\x02\xc8\xc0\xa8\x02\x02\xc12\x005\x00.\x86Z\xe4I\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x07catalog\x08gamepass\x03com\x00\x00\x01\x00\x01'",0,Normal
192.168.2.2,192.168.2.200,53,49458,17,"b',\xf0]\xd4X\xd3\xfc|\x02H\x16\xf3\x08\x00E\x00\x00\xb2\xbe\x92@\x00@\x11\xf5\x8d\xc0\xa8\x02\x02\xc0\xa8\x02\xc8\x005\xc12\x00\x9e\xc4 \xe4I\x81\x80\x00\x01\x00\x04\x00\x00\x00\x00\x07catalog\x08gamepass\x03com\x00\x00\x01\x00\x01\xc0\x0c\x00\x05\x00\x01\x00\x00\x00\x07\x00$\x07catalog\x08gamepass\x03com\tedgesuite\x03net\x00\xc02\x00\x05\x00\x01\x00\x00\x00\x07\x00\x14\x05a1992\x04dscd\x06akamai\xc0Q\xc0b\x00\x01\x00\x01\x00\x00\x00\x07\x00\x04\x17\xda\xef\x88\xc0b\x00\x01\x00\x01\x00\x00\x00\x07\x00\x04\x17\xda\xef\x8d'",0,Normal
192.168.2.200,23.218.239.136,7350,443,6,"b'\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x004\xde\xfc@\x00\x80\x06\x00\x00\xc0\xa8\x02\xc8\x17\xda\xef\x88\x1c\xb6\x01\xbb7\xe7v\x99\x00\x00\x00\x00\x80\x02\xfa\xf0\xca\xf9\x00\x00\x02\x04\x05\xb4\x01\x03\x03\x08\x01\x01\x04\x02'",0,Normal
